2026-03-06 18:16:35,235 - INFO - Starting Evaluation on device: cuda
2026-03-06 18:16:42,027 - INFO - Filtered execution to single model: TSDiff (ICLR 23)
2026-03-06 18:16:42,027 - INFO - === Running evaluation for SEED: 42 ===
2026-03-06 18:16:42,028 - INFO - Evaluating TSDiff (ICLR 23)...
2026-03-06 18:16:42,028 - INFO - Training TSDiff (ICLR 2023) ...
2026-03-06 18:16:43,791 - INFO - [TSDiff] Epoch 1/100 - batch 20/836, loss=1.936803
2026-03-06 18:16:43,909 - INFO - [TSDiff] Epoch 1/100 - batch 40/836, loss=1.009383
2026-03-06 18:16:44,034 - INFO - [TSDiff] Epoch 1/100 - batch 60/836, loss=1.022855
2026-03-06 18:16:44,163 - INFO - [TSDiff] Epoch 1/100 - batch 80/836, loss=0.933149
2026-03-06 18:16:44,292 - INFO - [TSDiff] Epoch 1/100 - batch 100/836, loss=1.048539
2026-03-06 18:16:44,413 - INFO - [TSDiff] Epoch 1/100 - batch 120/836, loss=0.996846
2026-03-06 18:16:44,527 - INFO - [TSDiff] Epoch 1/100 - batch 140/836, loss=0.952134
2026-03-06 18:16:44,640 - INFO - [TSDiff] Epoch 1/100 - batch 160/836, loss=1.016332
2026-03-06 18:16:44,757 - INFO - [TSDiff] Epoch 1/100 - batch 180/836, loss=0.967620
2026-03-06 18:16:44,872 - INFO - [TSDiff] Epoch 1/100 - batch 200/836, loss=0.958584
2026-03-06 18:16:44,993 - INFO - [TSDiff] Epoch 1/100 - batch 220/836, loss=0.932461
2026-03-06 18:16:45,106 - INFO - [TSDiff] Epoch 1/100 - batch 240/836, loss=0.873141
2026-03-06 18:16:45,216 - INFO - [TSDiff] Epoch 1/100 - batch 260/836, loss=0.869205
2026-03-06 18:16:45,327 - INFO - [TSDiff] Epoch 1/100 - batch 280/836, loss=0.931805
2026-03-06 18:16:45,436 - INFO - [TSDiff] Epoch 1/100 - batch 300/836, loss=0.942135
2026-03-06 18:16:45,549 - INFO - [TSDiff] Epoch 1/100 - batch 320/836, loss=0.841989
2026-03-06 18:16:45,660 - INFO - [TSDiff] Epoch 1/100 - batch 340/836, loss=0.908051
2026-03-06 18:16:45,774 - INFO - [TSDiff] Epoch 1/100 - batch 360/836, loss=0.807294
2026-03-06 18:16:45,888 - INFO - [TSDiff] Epoch 1/100 - batch 380/836, loss=0.898109
2026-03-06 18:16:46,002 - INFO - [TSDiff] Epoch 1/100 - batch 400/836, loss=0.832755
2026-03-06 18:16:46,116 - INFO - [TSDiff] Epoch 1/100 - batch 420/836, loss=0.887523
2026-03-06 18:16:46,228 - INFO - [TSDiff] Epoch 1/100 - batch 440/836, loss=0.738644
2026-03-06 18:16:46,340 - INFO - [TSDiff] Epoch 1/100 - batch 460/836, loss=0.806906
2026-03-06 18:16:46,450 - INFO - [TSDiff] Epoch 1/100 - batch 480/836, loss=0.815631
2026-03-06 18:16:46,564 - INFO - [TSDiff] Epoch 1/100 - batch 500/836, loss=0.827057
2026-03-06 18:16:46,674 - INFO - [TSDiff] Epoch 1/100 - batch 520/836, loss=0.807402
2026-03-06 18:16:46,787 - INFO - [TSDiff] Epoch 1/100 - batch 540/836, loss=0.820039
2026-03-06 18:16:46,894 - INFO - [TSDiff] Epoch 1/100 - batch 560/836, loss=0.796344
2026-03-06 18:16:47,001 - INFO - [TSDiff] Epoch 1/100 - batch 580/836, loss=0.808275
2026-03-06 18:16:47,109 - INFO - [TSDiff] Epoch 1/100 - batch 600/836, loss=0.728598
2026-03-06 18:16:47,219 - INFO - [TSDiff] Epoch 1/100 - batch 620/836, loss=0.734881
2026-03-06 18:16:47,329 - INFO - [TSDiff] Epoch 1/100 - batch 640/836, loss=0.807013
2026-03-06 18:16:47,439 - INFO - [TSDiff] Epoch 1/100 - batch 660/836, loss=0.747268
2026-03-06 18:16:47,548 - INFO - [TSDiff] Epoch 1/100 - batch 680/836, loss=0.770267
2026-03-06 18:16:47,658 - INFO - [TSDiff] Epoch 1/100 - batch 700/836, loss=0.696814
2026-03-06 18:16:47,768 - INFO - [TSDiff] Epoch 1/100 - batch 720/836, loss=0.748840
2026-03-06 18:16:47,879 - INFO - [TSDiff] Epoch 1/100 - batch 740/836, loss=0.708157
2026-03-06 18:16:47,987 - INFO - [TSDiff] Epoch 1/100 - batch 760/836, loss=0.751870
2026-03-06 18:16:48,103 - INFO - [TSDiff] Epoch 1/100 - batch 780/836, loss=0.772992
2026-03-06 18:16:48,216 - INFO - [TSDiff] Epoch 1/100 - batch 800/836, loss=0.846336
2026-03-06 18:16:48,328 - INFO - [TSDiff] Epoch 1/100 - batch 820/836, loss=0.670894
2026-03-06 18:16:48,435 - INFO - [TSDiff] Epoch 1/100 - batch 836/836, loss=0.568609
2026-03-06 18:16:48,435 - INFO - [TSDiff] Epoch 1/100 - avg_loss=1.356278, batches=836
2026-03-06 18:16:48,555 - INFO - [TSDiff] Epoch 2/100 - batch 20/836, loss=0.720065
2026-03-06 18:16:48,675 - INFO - [TSDiff] Epoch 2/100 - batch 40/836, loss=0.678999
2026-03-06 18:16:48,794 - INFO - [TSDiff] Epoch 2/100 - batch 60/836, loss=0.566278
2026-03-06 18:16:48,914 - INFO - [TSDiff] Epoch 2/100 - batch 80/836, loss=0.702908
2026-03-06 18:16:49,035 - INFO - [TSDiff] Epoch 2/100 - batch 100/836, loss=0.543971
2026-03-06 18:16:49,156 - INFO - [TSDiff] Epoch 2/100 - batch 120/836, loss=0.696177
2026-03-06 18:16:49,279 - INFO - [TSDiff] Epoch 2/100 - batch 140/836, loss=0.749434
2026-03-06 18:16:49,400 - INFO - [TSDiff] Epoch 2/100 - batch 160/836, loss=0.710078
2026-03-06 18:16:49,521 - INFO - [TSDiff] Epoch 2/100 - batch 180/836, loss=0.624359
2026-03-06 18:16:49,643 - INFO - [TSDiff] Epoch 2/100 - batch 200/836, loss=0.594488
2026-03-06 18:16:49,763 - INFO - [TSDiff] Epoch 2/100 - batch 220/836, loss=0.529659
2026-03-06 18:16:49,884 - INFO - [TSDiff] Epoch 2/100 - batch 240/836, loss=0.541353
2026-03-06 18:16:50,005 - INFO - [TSDiff] Epoch 2/100 - batch 260/836, loss=0.669250
2026-03-06 18:16:50,126 - INFO - [TSDiff] Epoch 2/100 - batch 280/836, loss=0.533979
2026-03-06 18:16:50,246 - INFO - [TSDiff] Epoch 2/100 - batch 300/836, loss=0.630942
